Taxid,refseq accession
9643,GCF_020975775.1
452646,GCF_020171115.1
9999,GCF_003426925.1
9261,GCF_015852505.1
105255,GCF_019054845.1
299123,GCF_005870125.1
130825,GCF_017591425.1
39432,GCF_016699345.2
9600,GCF_028885625.1
9644,GCF_023065955.2
9704,GCF_009762305.2
32536,GCF_027475565.1
143292,GCF_030020395.1
36803,GCF_029834395.1
9337,GCF_011100635.1
64176,GCF_004329235.1
41426,GCF_016906955.1
29139,GCF_900497805.2
109905,GCF_017976325.1
56716,GCF_900634415.1
9615,GCF_011100685.1
9606,GCF_000001405.40
10090,GCF_000001635.27
2697049,GCF_009858895.2
9612,GCF_003254725.2
283734,GCF_016126715.1
6210,GCF_000524195.1
562,GCF_000157115.2
34880,GCF_905146905.1
4513,GCF_904849725.1
11084,GCF_000863125.1
11292,GCF_000859625.1
29176,GCF_000208865.1
3702,GCF_000001735.4
7227,GCF_000001215.4
9685,GCF_018350175.1
9669,GCF_011764305.1
10141,GCF_000151735.1
1268635,GCF_000512355.1
9407,GCF_014176215.1
40690,GCF_902827165.1
391180,GCF_002288905.1
9662,GCF_922984935.1
9657,GCF_902655055.1
42254,GCF_027595985.1
10129,GCF_947179515.1
48139,GCF_907164565.1
61388,GCF_022837055.1
10036,GCF_017639785.1
13616,GCF_027887165.1
30640,GCF_902686445.1
186990,GCF_001890085.2
59479,GCF_004115265.2
9720,GCF_004348235.1
29088,GCF_002201575.2
9796,GCF_002863925.1
1525,GCF_001267435.1
9860,GCF_910594005.1
10116,GCF_015227675.2
9030,GCF_016699485.2
1308,GCF_903886475.1
544406,GCF_007844075.1
6941,GCF_013339725.1
9031,GCF_016699485.2
1313,GCF_002076835.1
1515,GCF_003514585.1
851,GCF_001546435.1
9913,GCF_002263795.2
143291,GCF_902729225.1
38626,GCF_002099425.1
394239,GCF_002888855.1
61221,GCF_004798865.1
80427,GCF_009819535.1
132908,GCF_000151845.1
160734,GCF_008729295.1
37029,GCF_016509475.1
481883,GCF_028583425.1
3708,GCF_020379485.1
4565,GCF_018294505.1
51337,GCF_020740685.1
8845,GCF_002166845.1
168172,GCF_021901695.1
41875,GCF_002220235.1
7654,GCF_018143015.1
9689,GCF_018350215.1
8030,GCF_905237065.1
9823,GCF_000003025.6
9696,GCF_003327715.1
34886,GCF_004028035.1
7782,GCF_028641065.1
9731,GCF_006547405.1
9974,GCF_014570535.1
10047,GCF_002204375.1
33562,GCF_019393635.1
51298,GCF_014108235.1
10181,GCF_000247695.1
8128,GCF_001858045.2
1203670,GCF_000299135.1
1255,GCF_001411765.2
47969,GCF_013358895.1
303518,GCF_000239375.1
1549864,GCF_001630085.1
7955,GCF_000002035.6
1311,GCF_001552035.1
9716,GCF_021288785.2
34884,GCF_003265705.1
8957,GCF_929443795.1
214514,GCF_023159225.1
2715852,GCF_001604975.1
1423,GCF_000696615.1
9822,GCF_000003025.6
10345,GCF_000843825.1
1307,GCF_000876695.1
1193011,GCF_000306235.2
28295,GCF_000848685.1
10497,GCF_000858485.1
9544,GCF_003339765.1
1604,GCF_000191545.1
652611,GCF_000404265.1
9545,GCF_000956065.1
7160,GCF_006496715.2
44283,GCF_001027665.1
9258,GCF_004115215.2
28377,GCF_000090745.2
8364,GCF_000004195.4
29073,GCF_017311325.1
3562,GCF_020520425.1
161453,GCF_027744805.1
10089,GCF_900094665.2
7757,GCF_010993605.1
10093,GCF_900095145.1
9590,GCF_028878055.1
43689,GCF_900408965.1
9470,GCF_027406575.1
9531,GCF_000955945.1
8240,GCF_910596095.1
9715,GCF_011800145.1
35658,GCF_008632895.1
27675,GCF_015220235.1
9601,GCF_028885655.1
9305,GCF_902635505.1
591936,GCF_002776525.5
1026970,GCF_000622305.1
